rental_id,customer_id,staff_id,item_id,rental_date,return_date
97,761,15,11047,2021-08-09,2021-08-13
98,910,13,5178,2021-08-09,2021-08-11
99,575,6,11866,2021-08-10,2021-08-12
100,1288,15,1952,2021-08-10,2021-08-13
101,504,16,298,2021-08-10,2021-08-11
102,483,4,3966,2021-08-10,2021-08-14
103,985,7,15400,2021-08-11,2021-08-13
104,49,1,5944,2021-08-11,2021-08-14
105,1241,6,1168,2021-08-11,2021-08-13
106,819,3,12540,2021-08-11,2021-08-14
107,137,2,12220,2021-08-12,2021-08-13
108,111,3,8832,2021-08-12,2021-08-13
109,795,16,6699,2021-08-12,2021-08-14
110,212,4,11308,2021-08-12,2021-08-14
111,1327,12,5838,2021-08-12,2021-08-16
112,769,14,13032,2021-08-13,2021-08-15
113,613,1,7624,2021-08-16,2021-08-18
114,256,3,14828,2021-08-16,2021-08-20
115,396,11,846,2021-08-16,2021-08-19
116,388,12,3286,2021-08-17,2021-08-19
117,406,16,1142,2021-08-17,2021-08-19
118,1280,13,5666,2021-08-17,2021-08-21
119,901,7,12586,2021-08-17,2021-08-19
120,592,11,15227,2021-08-17,2021-08-21
121,423,15,3176,2021-08-17,2021-08-20
122,1319,6,6021,2021-08-17,2021-08-22
123,88,4,7033,2021-08-18,2021-08-20
124,978,15,13097,2021-08-18,2021-08-19
125,783,16,183,2021-08-18,2021-08-20
126,1190,3,1344,2021-08-18,2021-08-22
127,303,6,1752,2021-08-18,2021-08-22
128,1001,2,3272,2021-08-18,2021-08-23
129,255,3,14251,2021-08-19,2021-08-20
130,673,10,12313,2021-08-19,2021-08-20
131,1026,11,8294,2021-08-19,2021-08-21
132,311,12,7626,2021-08-20,2021-08-22
133,1203,2,14347,2021-08-20,2021-08-22
134,756,12,4240,2021-08-20,2021-08-21
135,1239,14,10533,2021-08-23,2021-08-26
136,1200,9,1237,2021-08-23,2021-08-25
137,956,4,14437,2021-08-23,2021-08-25
138,1024,3,10153,2021-08-23,2021-08-25
139,573,3,8208,2021-08-23,2021-08-25
140,949,12,3092,2021-08-23,2021-08-25
141,620,3,3086,2021-08-23,2021-08-25
142,1029,14,14346,2021-08-24,2021-08-25
143,1268,16,13563,2021-08-24,2021-08-27
144,628,16,486,2021-08-24,2021-08-26
145,42,2,15758,2021-08-24,2021-08-26
146,400,14,1949,2021-08-24,2021-08-27
147,348,4,3959,2021-08-24,2021-08-26
148,771,5,9730,2021-08-25,2021-08-28
149,818,3,5766,2021-08-25,2021-08-26
150,1057,13,11551,2021-08-25,2021-08-26
151,717,8,4261,2021-08-25,2021-08-27
152,490,11,11233,2021-08-25,2021-08-27
153,1087,1,15661,2021-08-25,2021-08-28
154,717,4,14123,2021-08-25,2021-08-29
155,1197,7,7636,2021-08-26,2021-08-31
156,283,14,14565,2021-08-26,2021-08-29
157,427,16,816,2021-08-26,2021-09-02
158,1220,13,104,2021-08-26,2021-08-29
159,1007,2,5799,2021-08-26,2021-08-28
160,872,14,1802,2021-08-26,2021-08-28
161,217,5,4484,2021-08-27,2021-08-30
162,686,9,4344,2021-08-27,2021-08-31
163,490,11,1700,2021-08-27,2021-08-30
164,379,9,5008,2021-08-27,2021-08-29
165,1291,11,9537,2021-08-30,2021-09-02
166,657,15,1215,2021-08-31,2021-09-03
167,670,2,7600,2021-09-01,2021-09-02
168,656,2,7187,2021-09-01,2021-09-03
169,1099,13,2002,2021-09-01,2021-09-03
170,472,13,12220,2021-09-01,2021-09-04
171,925,5,6301,2021-09-01,2021-09-04
172,1047,13,6017,2021-09-02,2021-09-04
173,51,3,15161,2021-09-02,2021-09-03
174,578,13,2119,2021-09-02,2021-09-05
175,1299,4,3122,2021-09-02,2021-09-06
176,1265,3,4533,2021-09-02,2021-09-07
177,909,6,10800,2021-09-02,2021-09-03
178,874,10,7105,2021-09-02,2021-09-07
179,284,14,11450,2021-09-03,2021-09-04
180,87,10,13523,2021-09-03,2021-09-04
181,379,12,3057,2021-09-03,2021-09-06
182,1241,15,3174,2021-09-03,2021-09-05
183,1158,14,975,2021-09-03,2021-09-06
184,1032,8,1696,2021-09-03,2021-09-07
185,1002,1,3896,2021-09-03,2021-09-04
186,893,17,12438,2021-09-03,2021-09-05
187,347,5,4189,2021-09-06,2021-09-09
188,1102,11,15454,2021-09-06,2021-09-09
189,895,7,15018,2021-09-06,2021-09-08
190,1017,10,2346,2021-09-06,2021-09-09
191,1037,10,2075,2021-09-07,2021-09-09
192,1164,4,2571,2021-09-07,2021-09-09
193,8,10,1727,2021-09-07,2021-09-10
194,1098,4,9251,2021-09-08,2021-09-10
195,1264,5,13502,2021-09-08,2021-09-11
196,743,13,15404,2021-09-08,2021-09-09
197,446,6,4019,2021-09-08,2021-09-12
198,1298,2,7844,2021-09-08,2021-09-11
199,139,17,9569,2021-09-08,2021-09-09
200,1004,13,14555,2021-09-08,2021-09-12
201,18,12,7908,2021-09-08,2021-09-13
202,404,9,10145,2021-09-08,2021-09-10
203,1244,16,6069,2021-09-09,2021-09-12
204,1269,10,13834,2021-09-09,2021-09-11
205,88,2,6103,2021-09-09,2021-09-12
206,533,16,12949,2021-09-09,2021-09-13
207,852,14,7794,2021-09-09,2021-09-12
208,1300,5,2796,2021-09-09,2021-09-11
209,1095,17,10376,2021-09-09,2021-09-14
210,224,5,15291,2021-09-10,2021-09-11
211,1043,6,2596,2021-09-10,2021-09-13
212,1154,16,15808,2021-09-10,2021-09-14
213,536,1,2463,2021-09-13,2021-09-17
214,95,9,11140,2021-09-13,2021-09-17
215,1020,6,7010,2021-09-13,2021-09-17
216,1017,17,7119,2021-09-13,2021-09-14
217,359,4,11517,2021-09-13,2021-09-15
218,411,16,3799,2021-09-13,2021-09-15
219,683,5,4850,2021-09-14,2021-09-17
220,587,17,1576,2021-09-14,2021-09-18
221,1088,17,7854,2021-09-14,2021-09-16
222,986,10,12499,2021-09-14,2021-09-16
223,1140,16,12473,2021-09-15,2021-09-17
224,1228,1,10520,2021-09-15,2021-09-16
225,763,13,11733,2021-09-15,2021-09-20
226,60,8,7902,2021-09-15,2021-09-18
227,122,1,3649,2021-09-15,2021-09-19
228,53,6,4731,2021-09-15,2021-09-17
229,895,14,13389,2021-09-15,2021-09-18
230,451,3,11882,2021-09-15,2021-09-19
231,454,3,6364,2021-09-15,2021-09-16
232,121,14,9478,2021-09-16,2021-09-24
233,756,16,3778,2021-09-16,2021-09-20
234,1083,5,625,2021-09-16,2021-09-18
235,322,7,7179,2021-09-17,2021-09-21
236,1221,2,4658,2021-09-17,2021-09-18
237,976,13,3360,2021-09-17,2021-09-19
238,486,6,600,2021-09-17,2021-09-22
239,2,15,12040,2021-09-20,2021-09-25
240,954,11,5286,2021-09-20,2021-09-23
241,994,9,5983,2021-09-20,2021-09-24
242,1296,4,1162,2021-09-20,2021-09-21
243,562,10,11137,2021-09-20,2021-09-23
244,363,17,5260,2021-09-21,2021-09-27
245,89,3,11272,2021-09-21,2021-09-25
246,685,5,11703,2021-09-21,2021-09-24
247,549,3,3353,2021-09-21,2021-09-24
248,90,8,796,2021-09-21,2021-09-26
249,979,8,8003,2021-09-21,2021-09-23
250,971,16,2580,2021-09-21,2021-09-22
251,824,13,5224,2021-09-21,2021-09-24
252,431,4,7180,2021-09-21,2021-09-25
253,703,9,10217,2021-09-21,2021-09-22
254,58,17,13633,2021-09-21,2021-09-25
255,316,3,11453,2021-09-22,2021-09-25
256,52,10,6975,2021-09-22,2021-09-26
257,916,5,11701,2021-09-22,2021-09-24
258,217,11,14714,2021-09-22,2021-09-23
259,158,4,9914,2021-09-22,2021-09-24
260,197,13,5488,2021-09-22,2021-09-25
261,78,5,4512,2021-09-22,2021-09-25
262,487,17,13783,2021-09-22,2021-09-27
263,10,4,9310,2021-09-22,2021-09-26
264,223,10,912,2021-09-22,2021-09-23
265,933,13,5068,2021-09-23,2021-09-25
266,1122,17,4122,2021-09-23,2021-09-25
267,709,9,2341,2021-09-23,2021-09-26
268,1245,12,14636,2021-09-23,2021-09-26
269,117,13,4407,2021-09-23,2021-09-24
270,1093,16,15139,2021-09-23,2021-09-27
271,1178,9,14099,2021-09-23,2021-09-28
272,812,6,12475,2021-09-23,2021-09-25
273,1193,12,11709,2021-09-23,2021-09-25
274,1078,6,6981,2021-09-23,2021-09-24
275,885,12,10552,2021-09-24,2021-09-28
276,1017,2,3407,2021-09-24,2021-10-01
277,916,4,12703,2021-09-24,2021-09-25
278,1230,3,14598,2021-09-24,2021-09-26
279,602,1,5299,2021-09-27,2021-09-28
280,913,11,8732,2021-09-27,2021-09-29
281,1059,2,3027,2021-09-27,2021-09-30
282,935,14,9892,2021-09-27,2021-09-28
283,939,11,5570,2021-09-27,2021-09-30
284,485,13,11840,2021-09-27,2021-09-29
285,1221,12,14532,2021-09-28,2021-09-29
286,509,16,4985,2021-09-28,2021-10-01
287,1048,5,12202,2021-09-28,2021-10-01
288,337,8,14214,2021-09-28,2021-10-03
289,888,17,15430,2021-09-28,2021-10-03
290,1132,16,14536,2021-09-28,2021-10-01
291,1032,15,15418,2021-09-28,2021-09-30
292,186,11,14047,2021-09-28,2021-09-29
293,1088,10,12881,2021-09-28,2021-10-01
294,257,1,6436,2021-09-28,2021-10-05
295,842,15,9221,2021-09-28,2021-09-30
296,210,14,9464,2021-09-29,2021-10-01
297,1258,16,9068,2021-09-29,2021-10-02
298,877,6,1948,2021-09-29,2021-10-01
299,875,8,8919,2021-09-30,2021-10-04
300,1243,6,15452,2021-09-30,2021-10-04
301,1269,10,14512,2021-09-30,2021-10-06
302,25,2,8303,2021-09-30,2021-10-01
303,976,10,15273,2021-09-30,2021-10-02
304,104,14,12052,2021-09-30,2021-10-05
305,919,4,9375,2021-09-30,2021-10-02
306,1214,12,5969,2021-09-30,2021-10-03
307,338,4,2971,2021-09-30,2021-10-04
308,1179,6,3984,2021-10-01,2021-10-06
309,263,14,5346,2021-10-01,2021-10-03
310,383,16,8323,2021-10-01,2021-10-06
311,969,15,12220,2021-10-01,2021-10-04
312,913,10,7710,2021-10-01,2021-10-05
313,37,7,9613,2021-10-01,2021-10-02
314,1108,2,2098,2021-10-01,2021-10-02
315,782,2,12543,2021-10-04,2021-10-08
316,477,6,13185,2021-10-04,2021-10-07
317,1057,3,13210,2021-10-04,2021-10-06
318,113,3,7826,2021-10-04,2021-10-05
319,395,15,5044,2021-10-04,2021-10-07
320,415,15,5198,2021-10-04,2021-10-08
321,632,2,10985,2021-10-04,2021-10-07
322,311,12,15341,2021-10-04,2021-10-08
323,1080,15,7930,2021-10-05,2021-10-07
324,123,4,10495,2021-10-05,2021-10-07
325,1215,15,11897,2021-10-05,2021-10-07
326,135,16,14977,2021-10-05,2021-10-11
327,1217,3,14859,2021-10-05,2021-10-08
328,528,2,2701,2021-10-05,2021-10-08
329,239,14,5518,2021-10-05,2021-10-09
330,1264,7,6500,2021-10-05,2021-10-07
331,175,1,6687,2021-10-05,2021-10-07
332,1241,6,12991,2021-10-05,2021-10-08
333,73,2,6894,2021-10-05,2021-10-10
334,489,2,13081,2021-10-05,2021-10-11
335,1123,9,3903,2021-10-06,2021-10-09
336,1235,7,3481,2021-10-06,2021-10-10
337,154,8,9236,2021-10-06,2021-10-08
338,8,2,14151,2021-10-06,2021-10-07
339,667,12,438,2021-10-06,2021-10-09
340,1314,16,13767,2021-10-06,2021-10-08
341,752,13,13918,2021-10-06,2021-10-09
342,1329,7,7514,2021-10-07,2021-10-12
343,475,1,15058,2021-10-07,2021-10-10
344,1271,9,8834,2021-10-07,2021-10-10
345,248,4,4014,2021-10-07,2021-10-12
346,1242,5,5135,2021-10-08,2021-10-11
347,60,16,11877,2021-10-08,2021-10-11
348,339,3,3698,2021-10-08,2021-10-12
349,1055,14,14266,2021-10-08,2021-10-12
350,478,1,432,2021-10-08,2021-10-10
351,112,7,4565,2021-10-08,2021-10-12
352,67,9,13121,2021-10-08,2021-10-14
353,336,5,12101,2021-10-08,2021-10-10
354,681,9,6961,2021-10-08,2021-10-10
355,605,10,893,2021-10-08,2021-10-10
356,1283,10,13992,2021-10-08,2021-10-09
357,353,9,4670,2021-10-11,2021-10-16
358,951,16,13128,2021-10-11,2021-10-13
359,834,9,12475,2021-10-11,2021-10-13
360,600,1,9611,2021-10-11,2021-10-14
361,1198,10,13709,2021-10-11,2021-10-13
362,854,17,15737,2021-10-11,2021-10-14
363,679,14,13076,2021-10-11,2021-10-13
364,370,3,10661,2021-10-11,2021-10-13
365,109,15,9083,2021-10-11,2021-10-15
366,557,1,15372,2021-10-11,2021-10-13
367,780,13,3657,2021-10-12,2021-10-14
368,281,7,6526,2021-10-12,2021-10-13
369,974,10,5646,2021-10-12,2021-10-13
370,121,12,12075,2021-10-12,2021-10-16
371,1282,2,166,2021-10-12,2021-10-14
372,22,15,3185,2021-10-12,2021-10-14
373,1026,17,15664,2021-10-12,2021-10-17
374,574,10,14639,2021-10-12,2021-10-14
375,593,4,13242,2021-10-13,2021-10-16
376,999,2,3046,2021-10-13,2021-10-17
377,759,9,3295,2021-10-13,2021-10-15
378,271,5,14117,2021-10-13,2021-10-16
379,518,13,7816,2021-10-13,2021-10-18
380,860,6,11201,2021-10-13,2021-10-16
381,662,12,11911,2021-10-14,2021-10-16
382,346,15,15038,2021-10-14,2021-10-16
383,299,6,2682,2021-10-14,2021-10-15
384,763,12,12246,2021-10-14,2021-10-18
385,16,7,7674,2021-10-14,2021-10-17
386,32,13,7243,2021-10-14,2021-10-15
387,921,15,12971,2021-10-14,2021-10-20
388,119,5,8858,2021-10-15,2021-10-17
389,1036,17,8433,2021-10-15,2021-10-21
390,391,15,2284,2021-10-15,2021-10-16
391,674,11,5628,2021-10-15,2021-10-16
392,148,3,9634,2021-10-15,2021-10-17
393,528,9,12046,2021-10-15,2021-10-18
394,593,1,15781,2021-10-15,2021-10-17
395,333,17,2087,2021-10-15,2021-10-16
396,1108,14,1605,2021-10-15,2021-10-16
397,854,9,11664,2021-10-15,2021-10-17
398,831,5,15191,2021-10-15,2021-10-18
399,227,5,5601,2021-10-15,2021-10-16
400,417,11,8832,2021-10-18,2021-10-21
401,1125,12,13376,2021-10-19,2021-10-21
402,1047,9,11238,2021-10-19,2021-10-21
403,976,13,8166,2021-10-19,2021-10-21
404,378,3,4261,2021-10-19,2021-10-22
405,1286,11,10800,2021-10-19,2021-10-21
406,1146,7,8374,2021-10-19,2021-10-24
407,542,15,7049,2021-10-19,2021-10-20
408,700,3,2350,2021-10-19,2021-10-21
409,1157,3,14444,2021-10-19,2021-10-22
410,188,17,2201,2021-10-20,2021-10-22
411,1307,16,9476,2021-10-20,2021-10-22
412,1296,12,5072,2021-10-20,2021-10-22
413,339,9,918,2021-10-20,2021-10-24
414,1002,8,2535,2021-10-21,2021-10-23
415,126,3,1249,2021-10-21,2021-10-23
416,276,11,6654,2021-10-21,2021-10-22
417,1159,10,5134,2021-10-21,2021-10-24
418,369,13,7786,2021-10-21,2021-10-25
419,255,11,9699,2021-10-21,2021-10-25
420,1011,2,13729,2021-10-21,2021-10-23
421,38,16,3510,2021-10-21,2021-10-25
422,1097,17,5952,2021-10-21,2021-10-22
423,729,3,8656,2021-10-21,2021-10-23
424,737,9,9817,2021-10-21,2021-10-24
425,755,13,7782,2021-10-22,2021-10-23
426,358,12,9775,2021-10-22,2021-10-24
427,551,14,7888,2021-10-22,2021-10-24
428,546,9,3229,2021-10-22,2021-10-26
429,1151,8,8321,2021-10-22,2021-10-25
430,1087,4,401,2021-10-22,2021-10-28
431,1124,1,12339,2021-10-25,2021-10-26
432,310,11,8107,2021-10-25,2021-10-27
433,1325,16,3222,2021-10-25,2021-10-27
434,29,8,11270,2021-10-25,2021-10-26
435,894,2,7115,2021-10-25,2021-10-26
436,463,5,12189,2021-10-25,2021-10-28
437,603,14,2880,2021-10-25,2021-10-26
438,1007,17,9950,2021-10-25,2021-10-28
439,413,16,2891,2021-10-25,2021-10-26
440,1329,12,15845,2021-10-26,2021-10-29
441,700,9,12351,2021-10-26,2021-10-30
442,743,9,3801,2021-10-26,2021-10-28
443,671,5,5806,2021-10-26,2021-10-29
444,465,6,13098,2021-10-26,2021-10-30
445,1303,9,1500,2021-10-26,2021-10-27
446,1270,15,2580,2021-10-26,2021-10-27
447,1088,10,3581,2021-10-26,2021-10-28
448,357,9,7167,2021-10-26,2021-10-31
449,246,12,3947,2021-10-26,2021-10-30
450,1320,15,14425,2021-10-26,2021-10-28
451,551,15,11338,2021-10-26,2021-10-28
452,91,13,5961,2021-10-26,2021-10-29
453,393,14,14893,2021-10-27,2021-11-01
454,263,8,15203,2021-10-27,2021-10-29
455,779,4,3899,2021-10-27,2021-10-30
456,751,3,13012,2021-10-27,2021-10-28
457,886,6,13473,2021-10-27,2021-10-31
458,1245,5,6146,2021-10-27,2021-10-28
459,47,17,1373,2021-10-27,2021-10-30
460,627,12,14093,2021-10-27,2021-10-29
461,209,9,9935,2021-10-28,2021-10-29
462,504,16,3038,2021-10-28,2021-10-29
463,835,3,14530,2021-10-28,2021-10-31
464,702,10,10810,2021-10-28,2021-11-01
465,860,2,12872,2021-10-28,2021-11-01
466,593,15,3981,2021-10-28,2021-10-30
467,146,7,12097,2021-10-29,2021-11-01
468,507,9,14582,2021-10-29,2021-10-30
469,1043,9,14383,2021-10-29,2021-11-01
470,810,1,8963,2021-10-29,2021-11-02
471,1268,17,11834,2021-10-29,2021-10-31
472,1210,3,9191,2021-10-29,2021-10-31
473,524,17,9009,2021-10-29,2021-10-30
474,1120,17,986,2021-11-02,2021-11-05
475,1064,9,11571,2021-11-02,2021-11-06
476,652,7,14612,2021-11-02,2021-11-06
477,717,13,1313,2021-11-02,2021-11-04
478,834,6,8556,2021-11-02,2021-11-04
479,976,13,8656,2021-11-02,2021-11-04
480,588,14,6598,2021-11-02,2021-11-03
481,761,9,4448,2021-11-03,2021-11-07
482,652,17,15564,2021-11-03,2021-11-05
483,255,15,9584,2021-11-03,2021-11-05
484,1279,1,13554,2021-11-03,2021-11-05
485,1166,8,4036,2021-11-03,2021-11-05
486,1103,17,15725,2021-11-03,2021-11-06
487,972,17,7114,2021-11-03,2021-11-05
488,453,17,7095,2021-11-03,2021-11-05
489,624,12,11552,2021-11-03,2021-11-05
490,297,3,4019,2021-11-03,2021-11-06
491,1051,13,15867,2021-11-04,2021-11-07
492,440,17,9152,2021-11-04,2021-11-05
493,158,16,7159,2021-11-04,2021-11-06
494,651,9,326,2021-11-04,2021-11-06
495,1063,15,12511,2021-11-04,2021-11-06
496,414,5,1808,2021-11-04,2021-11-06
497,652,10,9672,2021-11-04,2021-11-08
498,777,7,10646,2021-11-04,2021-11-07
499,886,8,1421,2021-11-04,2021-11-07
500,63,7,12,2021-11-04,2021-11-10
501,1082,10,2796,2021-11-05,2021-11-08
502,114,17,8352,2021-11-05,2021-11-08
503,880,15,4037,2021-11-05,2021-11-11
504,712,7,4017,2021-11-05,2021-11-09
505,570,5,14434,2021-11-05,2021-11-09
506,1276,11,11716,2021-11-05,2021-11-06
507,928,9,9517,2021-11-05,2021-11-10
508,586,9,15455,2021-11-05,2021-11-07
509,352,2,14810,2021-11-08,2021-11-10
510,621,5,11703,2021-11-08,2021-11-13
511,1237,15,4368,2021-11-08,2021-11-11
512,177,15,10957,2021-11-08,2021-11-10
513,809,12,3048,2021-11-08,2021-11-11
514,1257,9,13749,2021-11-08,2021-11-09
515,1147,8,10286,2021-11-08,2021-11-11
516,147,2,9637,2021-11-08,2021-11-11
517,1251,2,14924,2021-11-08,2021-11-11
518,391,2,8895,2021-11-08,2021-11-11
519,1008,5,9009,2021-11-08,2021-11-13
520,13,9,11766,2021-11-08,2021-11-16
521,847,15,6749,2021-11-08,2021-11-12
522,517,8,8560,2021-11-08,2021-11-11
523,591,6,8388,2021-11-08,2021-11-11
524,1096,9,1737,2021-11-08,2021-11-10
525,835,9,11728,2021-11-09,2021-11-13
526,449,6,11808,2021-11-09,2021-11-10
527,906,10,9855,2021-11-09,2021-11-12
528,888,15,8980,2021-11-09,2021-11-11
529,1150,17,8832,2021-11-09,2021-11-13
530,569,5,14758,2021-11-09,2021-11-11
531,276,7,15400,2021-11-09,2021-11-11
532,1006,6,11544,2021-11-10,2021-11-12
533,987,7,9560,2021-11-10,2021-11-14
534,571,2,12957,2021-11-10,2021-11-14
535,836,14,4431,2021-11-10,2021-11-12
536,470,12,12873,2021-11-10,2021-11-12
537,1292,10,4690,2021-11-10,2021-11-12
538,919,15,634,2021-11-10,2021-11-18
539,419,3,469,2021-11-10,2021-11-12
540,1047,12,4676,2021-11-10,2021-11-12
541,701,12,14181,2021-11-10,2021-11-13
542,1269,10,1984,2021-11-12,2021-11-15
543,1059,16,11588,2021-11-12,2021-11-14
544,117,7,10958,2021-11-12,2021-11-15
545,1100,4,11951,2021-11-12,2021-11-14
546,973,2,15799,2021-11-12,2021-11-15
547,910,7,2915,2021-11-12,2021-11-14
548,93,13,5893,2021-11-12,2021-11-18
549,150,12,5295,2021-11-12,2021-11-13
550,201,6,11074,2021-11-12,2021-11-15
551,1098,4,12930,2021-11-12,2021-11-16
552,813,14,14179,2021-11-12,2021-11-14
553,206,10,11767,2021-11-12,2021-11-16
554,858,8,2275,2021-11-12,2021-11-14
555,1251,16,7193,2021-11-12,2021-11-16
556,739,9,15373,2021-11-15,2021-11-19
557,436,8,10289,2021-11-15,2021-11-19
558,1181,17,7590,2021-11-15,2021-11-16
559,872,14,7206,2021-11-15,2021-11-17
560,1017,13,10061,2021-11-15,2021-11-18
561,57,6,14112,2021-11-15,2021-11-17
562,895,16,5096,2021-11-15,2021-11-19
563,1287,16,5453,2021-11-15,2021-11-17
564,158,13,1920,2021-11-15,2021-11-18
565,1245,1,6308,2021-11-15,2021-11-17
566,1144,10,14339,2021-11-15,2021-11-18
567,655,2,4639,2021-11-15,2021-11-21
568,1249,4,12842,2021-11-16,2021-11-20
569,807,12,5431,2021-11-16,2021-11-18
570,350,13,7159,2021-11-16,2021-11-19
571,382,12,10314,2021-11-16,2021-11-21
572,394,17,7413,2021-11-16,2021-11-18
573,876,13,169,2021-11-16,2021-11-18
574,1300,3,11241,2021-11-16,2021-11-21
575,435,1,1455,2021-11-16,2021-11-18
576,780,13,9192,2021-11-16,2021-11-19
577,189,12,7801,2021-11-16,2021-11-19
578,13,3,3663,2021-11-17,2021-11-18
579,615,2,4019,2021-11-17,2021-11-20
580,312,8,14876,2021-11-17,2021-11-20
581,188,15,5209,2021-11-17,2021-11-19
582,852,16,9283,2021-11-17,2021-11-21
583,219,4,6555,2021-11-17,2021-11-20
584,383,15,12812,2021-11-17,2021-11-19
585,364,3,13384,2021-11-17,2021-11-19
586,365,6,9378,2021-11-17,2021-11-18
587,393,8,7068,2021-11-17,2021-11-20
588,663,11,2235,2021-11-17,2021-11-18
589,898,10,12524,2021-11-17,2021-11-19
590,198,14,8925,2021-11-17,2021-11-22
591,595,10,11076,2021-11-17,2021-11-20
592,428,14,8775,2021-11-18,2021-11-20
593,227,2,10858,2021-11-18,2021-11-20
594,1293,4,12726,2021-11-18,2021-11-19
595,503,16,8907,2021-11-18,2021-11-22
596,297,6,1620,2021-11-18,2021-11-21
597,1262,8,10199,2021-11-18,2021-11-21
598,973,9,4510,2021-11-18,2021-11-20
599,110,9,10069,2021-11-18,2021-11-20
